YearOfBirth,Name,Sex,Number
2000,Emily,F,25953
2000,Hannah,F,23075
2000,Madison,F,19967
2000,Ashley,F,17997
2000,Sarah,F,17689
2000,Alexis,F,17627
2000,Samantha,F,17264
2000,Jessica,F,15705
2000,Elizabeth,F,15089
2000,Taylor,F,15077
2000,Lauren,F,14173
2000,Alyssa,F,13553
2000,Kayla,F,13311
2000,Abigail,F,13087
2000,Brianna,F,12874
2000,Olivia,F,12852
2000,Emma,F,12542
2000,Megan,F,11433
2000,Grace,F,11283
2000,Victoria,F,10922
2000,Rachel,F,10667
2000,Anna,F,10581
2000,Sydney,F,10242
2000,Destiny,F,9845
2000,Morgan,F,9502
2000,Jennifer,F,9384
2000,Jasmine,F,9092
2000,Haley,F,9068
2000,Julia,F,8764
2000,Kaitlyn,F,8759
2000,Nicole,F,8559
2000,Amanda,F,8550
2000,Katherine,F,8106
2000,Natalie,F,8094
2000,Hailey,F,7828
2000,Alexandra,F,7545
2000,Savannah,F,7099
2000,Chloe,F,7094
2000,Rebecca,F,7056
2000,Stephanie,F,7029
2000,Maria,F,6851
2000,Sophia,F,6562
2000,Mackenzie,F,6348
2000,Allison,F,6314
2000,Isabella,F,6242
2000,Mary,F,6184
2000,Amber,F,6181
2000,Danielle,F,6087
2000,Gabrielle,F,5868
2000,Jordan,F,5808
2000,Brooke,F,5640
2000,Michelle,F,5544
2000,Sierra,F,5521
2000,Katelyn,F,5501
2000,Andrea,F,5477
2000,Madeline,F,5370
2000,Sara,F,5315
2000,Kimberly,F,5240
2000,Courtney,F,5239
2000,Brittany,F,5183
2000,Erin,F,5183
2000,Vanessa,F,5133
2000,Jenna,F,5045
2000,Jacqueline,F,5035
2000,Caroline,F,5021
2000,Faith,F,4998
2000,Makayla,F,4917
2000,Bailey,F,4648
2000,Paige,F,4609
2000,Shelby,F,4558
2000,Melissa,F,4528
2000,Kaylee,F,4492
2000,Christina,F,4325
2000,Trinity,F,4284
2000,Mariah,F,4103
2000,Caitlin,F,4102
2000,Autumn,F,4025
2000,Marissa,F,4023
2000,Breanna,F,3823
2000,Angela,F,3822
2000,Catherine,F,3800
2000,Zoe,F,3785
2000,Briana,F,3754
2000,Jada,F,3747
2000,Laura,F,3732
2000,Claire,F,3710
2000,Alexa,F,3674
2000,Kelsey,F,3669
2000,Kathryn,F,3641
2000,Leslie,F,3620
2000,Alexandria,F,3549
2000,Sabrina,F,3466
2000,Mia,F,3450
2000,Isabel,F,3446
2000,Molly,F,3399
2000,Leah,F,3395
2000,Katie,F,3391
2000,Gabriella,F,3369
2000,Cheyenne,F,3367
2000,Cassandra,F,3305
2000,Tiffany,F,3303
2000,Erica,F,3220
2000,Lindsey,F,3211
2000,Kylie,F,3205
2000,Amy,F,3171
2000,Diana,F,3165
2000,Cassidy,F,3163
2000,Mikayla,F,3159
2000,Ariana,F,3153
2000,Margaret,F,3120
2000,Kelly,F,3076
2000,Miranda,F,3041
2000,Maya,F,3017
2000,Melanie,F,2967
2000,Audrey,F,2871
2000,Jade,F,2863
2000,Gabriela,F,2844
2000,Caitlyn,F,2835
2000,Angel,F,2832
2000,Jillian,F,2778
2000,Alicia,F,2761
2000,Jocelyn,F,2744
2000,Erika,F,2733
2000,Lily,F,2731
2000,Heather,F,2684
2000,Madelyn,F,2684
2000,Adriana,F,2680
2000,Arianna,F,2658
2000,Lillian,F,2598
2000,Kiara,F,2559
2000,Riley,F,2552
2000,Crystal,F,2549
2000,Mckenzie,F,2526
2000,Meghan,F,2515
2000,Skylar,F,2502
2000,Ana,F,2423
2000,Britney,F,2403
2000,Angelica,F,2394
2000,Kennedy,F,2390
2000,Chelsea,F,2380
2000,Daisy,F,2366
2000,Kristen,F,2356
2000,Veronica,F,2355
2000,Isabelle,F,2340
2000,Summer,F,2336
2000,Hope,F,2321
2000,Brittney,F,2315
2000,Lydia,F,2307
2000,Hayley,F,2299
2000,Evelyn,F,2222
2000,Bethany,F,2190
2000,Shannon,F,2179
2000,Karen,F,2171
2000,Michaela,F,2171
2000,Jamie,F,2155
2000,Daniela,F,2151
2000,Angelina,F,2139
2000,Kaitlin,F,2135
2000,Karina,F,2133
2000,Sophie,F,2102
2000,Sofia,F,2093
2000,Diamond,F,2080
2000,Payton,F,2058
2000,Cynthia,F,2038
2000,Alexia,F,2018
2000,Valerie,F,2016
2000,Monica,F,1990
2000,Peyton,F,1967
2000,Carly,F,1961
2000,Bianca,F,1956
2000,Hanna,F,1911
2000,Brenda,F,1898
2000,Rebekah,F,1894
2000,Alejandra,F,1860
2000,Mya,F,1839
2000,Avery,F,1832
2000,Brooklyn,F,1827
2000,Ashlyn,F,1822
2000,Lindsay,F,1799
2000,Ava,F,1796
2000,Desiree,F,1789
2000,Alondra,F,1762
2000,Camryn,F,1753
2000,Ariel,F,1752
2000,Naomi,F,1750
2000,Jordyn,F,1730
2000,Kendra,F,1730
2000,Mckenna,F,1703
2000,Holly,F,1690
2000,Julie,F,1677
2000,Kendall,F,1650
2000,Kara,F,1648
2000,Jasmin,F,1644
2000,Selena,F,1643
2000,Esmeralda,F,1641
2000,Amaya,F,1632
2000,Kylee,F,1628
2000,Maggie,F,1614
2000,Makenzie,F,1613
2000,Claudia,F,1608
2000,Kyra,F,1597
2000,Cameron,F,1596
2000,Karla,F,1586
2000,Kathleen,F,1583
2000,Abby,F,1565
2000,Delaney,F,1538
2000,Amelia,F,1531
2000,Casey,F,1517
2000,Serena,F,1503
2000,Savanna,F,1500
2000,Aaliyah,F,1495
2000,Giselle,F,1486
2000,Mallory,F,1466
2000,April,F,1450
2000,Raven,F,1446
2000,Adrianna,F,1445
2000,Christine,F,1440
2000,Kristina,F,1433
2000,Nina,F,1427
2000,Asia,F,1423
2000,Natalia,F,1423
2000,Valeria,F,1422
2000,Aubrey,F,1408
2000,Lauryn,F,1408
2000,Kate,F,1396
2000,Patricia,F,1392
2000,Jazmin,F,1390
2000,Rachael,F,1389
2000,Katelynn,F,1388
2000,Cierra,F,1383
2000,Alison,F,1382
2000,Nancy,F,1375
2000,Macy,F,1374
2000,Elena,F,1365
2000,Kyla,F,1363
2000,Katrina,F,1355
2000,Jazmine,F,1353
2000,Joanna,F,1350
2000,Tara,F,1336
2000,Gianna,F,1330
2000,Juliana,F,1320
2000,Fatima,F,1315
2000,Allyson,F,1312
2000,Sadie,F,1312
2000,Gracie,F,1311
2000,Guadalupe,F,1308
2000,Genesis,F,1303
2000,Yesenia,F,1294
2000,Julianna,F,1287
2000,Skyler,F,1284
2000,Tatiana,F,1283
2000,Alexus,F,1281
2000,Alana,F,1278
2000,Elise,F,1278
2000,Kirsten,F,1273
2000,Nadia,F,1271
2000,Sandra,F,1268
2000,Dominique,F,1263
2000,Ruby,F,1263
2000,Haylee,F,1260
2000,Jayla,F,1259
2000,Tori,F,1246
2000,Cindy,F,1244
2000,Sidney,F,1221
2000,Ella,F,1219
2000,Tessa,F,1210
2000,Carolina,F,1204
2000,Jaqueline,F,1199
2000,Camille,F,1198
2000,Carmen,F,1194
2000,Whitney,F,1194
2000,Vivian,F,1175
2000,Priscilla,F,1170
2000,Bridget,F,1168
2000,Celeste,F,1167
2000,Kiana,F,1165
2000,Makenna,F,1163
2000,Alissa,F,1154
2000,Madeleine,F,1153
2000,Miriam,F,1151
2000,Natasha,F,1144
2000,Ciara,F,1139
2000,Cecilia,F,1135
2000,Mercedes,F,1135
2000,Kassandra,F,1134
2000,Reagan,F,1131
2000,Aliyah,F,1115
2000,Josephine,F,1114
2000,Charlotte,F,1104
2000,Rylee,F,1102
2000,Shania,F,1098
2000,Kira,F,1092
2000,Meredith,F,1092
2000,Eva,F,1088
2000,Lisa,F,1088
2000,Dakota,F,1086
2000,Hallie,F,1082
2000,Anne,F,1081
2000,Rose,F,1079
2000,Liliana,F,1064
2000,Kristin,F,1056
2000,Deanna,F,1051
2000,Imani,F,1051
2000,Marisa,F,1051
2000,Kailey,F,1050
2000,Annie,F,1038
2000,Nia,F,1033
2000,Carolyn,F,1029
2000,Anastasia,F,1027
2000,Brenna,F,1023
2000,Dana,F,1015
2000,Shayla,F,1009
2000,Ashlee,F,1008
2000,Kassidy,F,1007
2000,Alaina,F,1003
2000,Rosa,F,1003
2000,Wendy,F,1003
2000,Logan,F,998
2000,Tabitha,F,992
2000,Paola,F,991
2000,Callie,F,988
2000,Addison,F,983
2000,Lucy,F,979
2000,Gillian,F,976
2000,Clarissa,F,974
2000,Destinee,F,973
2000,Josie,F,969
2000,Esther,F,967
2000,Denise,F,963
2000,Katlyn,F,963
2000,Mariana,F,944
2000,Bryanna,F,943
2000,Emilee,F,931
2000,Georgia,F,929
2000,Deja,F,921
2000,Kamryn,F,921
2000,Ashleigh,F,916
2000,Cristina,F,912
2000,Baylee,F,905
2000,Heaven,F,903
2000,Ruth,F,902
2000,Raquel,F,900
2000,Monique,F,899
2000,Teresa,F,898
2000,Helen,F,890
2000,Krystal,F,890
2000,Tiana,F,887
2000,Cassie,F,886
2000,Kayleigh,F,885
2000,Marina,F,884
2000,Heidi,F,879
2000,Ivy,F,879
2000,Ashton,F,868
2000,Clara,F,868
2000,Meagan,F,858
2000,Gina,F,855
2000,Linda,F,849
2000,Gloria,F,842
2000,Jacquelyn,F,831
2000,Ellie,F,829
2000,Jenny,F,826
2000,Renee,F,825
2000,Daniella,F,818
2000,Lizbeth,F,817
2000,Anahi,F,814
2000,Virginia,F,811
2000,Gisselle,F,810
2000,Kaitlynn,F,801
2000,Julissa,F,798
2000,Cheyanne,F,796
2000,Lacey,F,792
2000,Haleigh,F,789
2000,Marie,F,785
2000,Martha,F,778
2000,Eleanor,F,771
2000,Kierra,F,764
2000,Tiara,F,764
2000,Talia,F,762
2000,Eliza,F,759
2000,Kaylie,F,759
2000,Mikaela,F,759
2000,Harley,F,756
2000,Jaden,F,752
2000,Hailee,F,751
2000,Madalyn,F,751
2000,Kasey,F,750
2000,Ashlynn,F,749
2000,Brandi,F,744
2000,Lesly,F,742
2000,Elisabeth,F,735
2000,Allie,F,734
2000,Viviana,F,733
2000,Cara,F,732
2000,Marisol,F,727
2000,India,F,722
2000,Litzy,F,722
2000,Tatyana,F,721
2000,Melody,F,720
2000,Jessie,F,719
2000,Brandy,F,718
2000,Alisha,F,715
2000,Hunter,F,714
2000,Noelle,F,710
2000,Carla,F,706
2000,Francesca,F,702
2000,Tia,F,701
2000,Layla,F,697
2000,Krista,F,695
2000,Zoey,F,691
2000,Carley,F,687
